|dates|Taylor_Texas_UnitedStates.JHU_ConfirmedCases.data|Taylor_Texas_UnitedStates.JHU_ConfirmedCases.missing|Taylor_Texas_UnitedStates.NYT_ConfirmedCases.data|Taylor_Texas_UnitedStates.NYT_ConfirmedCases.missing|Taylor_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Taylor_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Taylor_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Taylor_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-26|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-27|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-28|3.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-29|9.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-30|11.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-31|14.0|0|11.0|0|0.0|0|0.0|100
0|2020-04-01|14.0|0|14.0|0|0.0|0|0.0|100
0|2020-04-02|18.0|0|14.0|0|0.0|0|0.0|100
0|2020-04-03|23.0|0|18.0|0|0.0|0|0.0|100
0|2020-04-04|27.0|0|23.0|0|1.0|0|0.0|100
0|2020-04-05|31.0|0|27.0|0|1.0|0|0.0|100
0|2020-04-06|31.0|0|27.0|0|1.0|0|0.0|100
0|2020-04-07|38.0|0|31.0|0|1.0|0|0.0|100
0|2020-04-08|38.0|0|31.0|0|1.0|0|0.0|100
0|2020-04-09|51.0|0|31.0|0|1.0|0|0.0|100
0|2020-04-10|55.0|0|51.0|0|1.0|0|0.0|100
0|2020-04-11|55.0|0|55.0|0|1.0|0|0.0|100
0|2020-04-12|59.0|0|59.0|0|1.0|0|0.0|100
0|2020-04-13|68.0|0|68.0|0|1.0|0|0.0|100
0|2020-04-14|68.0|0|74.0|0|1.0|0|0.0|100
0|2020-04-15|74.0|0|74.0|0|1.0|0|0.0|100
0|2020-04-16|79.0|0|79.0|0|2.0|0|0.0|100
0|2020-04-17|89.0|0|89.0|0|2.0|0|0.0|100
0|2020-04-18|126.0|0|142.0|0|2.0|0|0.0|100
0|2020-04-19|142.0|0|142.0|0|2.0|0|0.0|100
0|2020-04-20|144.0|0|144.0|0|2.0|0|0.0|100
0|2020-04-21|144.0|0|164.0|0|3.0|0|0.0|100
0|2020-04-22|164.0|0|164.0|0|3.0|0|0.0|100
0|2020-04-23|191.0|0|191.0|0|3.0|0|0.0|100
0|2020-04-24|203.0|0|191.0|0|3.0|0|0.0|100
0|2020-04-25|203.0|0|203.0|0|3.0|0|0.0|100
0|2020-04-26|216.0|0|216.0|0|3.0|0|0.0|100
0|2020-04-27|222.0|0|255.0|0|3.0|0|0.0|100
0|2020-04-28|255.0|0|277.0|0|3.0|0|0.0|100
0|2020-04-29|277.0|0|291.0|0|3.0|0|0.0|100
0|2020-04-30|291.0|0|319.0|0|5.0|0|0.0|100
0|2020-05-01|319.0|0|319.0|0|5.0|0|0.0|100
0|2020-05-02|327.0|0|327.0|0|5.0|0|0.0|100
0|2020-05-03|348.0|0|348.0|0|5.0|0|0.0|100
0|2020-05-04|349.0|0|349.0|0|5.0|0|0.0|100
0|2020-05-05|356.0|0|378.0|0|5.0|0|0.0|100
0|2020-05-06|378.0|0|378.0|0|6.0|0|0.0|100
0|2020-05-07|206.0|0|382.0|0|6.0|0|0.0|100
0|2020-05-08|207.0|0|384.0|0|6.0|0|0.0|100
0|2020-05-09|208.0|0|384.0|0|6.0|0|0.0|100
0|2020-05-10|208.0|0|384.0|0|6.0|0|0.0|100
0|2020-05-11|208.0|0|386.0|0|6.0|0|0.0|100
0|2020-05-12|210.0|0|389.0|0|6.0|0|0.0|100
0|2020-05-13|213.0|0|390.0|0|6.0|0|0.0|100
