|dates|Bell_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Bell_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Bell_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Bell_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Bell_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Bell_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Bell_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Bell_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-07|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-08|0.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-09|0.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-10|0.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-11|0.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-12|0.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-13|0.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-14|0.0|0|18.0|0|0.0|0|0.0|100
0|2020-03-15|0.0|0|21.0|0|0.0|0|0.0|100
0|2020-03-16|0.0|0|22.0|0|0.0|0|0.0|100
0|2020-03-17|0.0|0|26.0|0|0.0|0|0.0|100
0|2020-03-18|0.0|0|35.0|0|0.0|0|0.0|100
0|2020-03-19|0.0|0|47.0|0|0.0|0|0.0|100
0|2020-03-20|0.0|0|63.0|0|0.0|0|0.0|100
0|2020-03-21|0.0|0|84.0|0|0.0|0|0.0|100
0|2020-03-22|0.0|0|103.0|0|0.0|0|0.0|100
0|2020-03-23|0.0|0|124.0|0|0.0|0|0.0|100
0|2020-03-24|0.0|0|162.0|0|0.0|0|0.0|100
0|2020-03-25|0.0|0|203.0|0|0.0|0|0.0|100
0|2020-03-26|0.0|0|252.0|0|0.0|0|0.0|100
0|2020-03-27|0.0|0|306.0|0|0.0|0|0.0|100
0|2020-03-28|0.0|0|398.0|0|0.0|0|0.0|100
0|2020-03-29|0.0|0|443.0|0|0.0|0|0.0|100
0|2020-03-30|0.0|0|484.0|0|0.0|0|0.0|100
0|2020-03-31|0.0|0|599.0|0|0.0|0|0.0|100
0|2020-04-01|0.0|0|691.0|0|0.0|0|0.0|100
0|2020-04-02|0.0|0|755.0|0|0.0|0|0.0|100
0|2020-04-03|0.0|0|770.0|0|0.0|0|0.0|100
0|2020-04-04|0.0|0|917.0|0|0.0|0|0.0|100
0|2020-04-05|0.0|0|1057.0|0|0.0|0|0.0|100
0|2020-04-06|0.0|0|1057.0|0|0.0|0|0.0|100
0|2020-04-07|0.0|0|1289.0|0|0.0|0|0.0|100
0|2020-04-08|0.0|0|1393.0|0|0.0|0|0.0|100
0|2020-04-09|0.0|0|1525.0|0|0.0|0|0.0|100
0|2020-04-10|0.0|0|1702.0|0|0.0|0|0.0|100
0|2020-04-11|0.0|0|1851.0|0|0.0|0|0.0|100
0|2020-04-12|0.0|0|1963.0|0|0.0|0|0.0|100
0|2020-04-13|0.0|0|2048.0|0|0.0|0|0.0|100
0|2020-04-14|0.0|0|2210.0|0|0.0|0|0.0|100
0|2020-04-15|0.0|0|2372.0|0|0.0|0|0.0|100
0|2020-04-16|0.0|0|2494.0|0|0.0|0|0.0|100
0|2020-04-17|0.0|0|2522.0|0|0.0|0|0.0|100
0|2020-04-18|0.0|0|2707.0|0|0.0|0|0.0|100
0|2020-04-19|0.0|0|2960.0|0|0.0|0|0.0|100
0|2020-04-20|0.0|0|3050.0|0|0.0|0|0.0|100
0|2020-04-21|0.0|0|3193.0|0|0.0|0|0.0|100
0|2020-04-22|0.0|0|3407.0|0|0.0|0|0.0|100
0|2020-04-23|0.0|0|3548.0|0|0.0|0|0.0|100
0|2020-04-24|0.0|0|3779.0|0|0.0|0|0.0|100
0|2020-04-25|0.0|0|3905.0|0|0.0|0|0.0|100
0|2020-04-26|0.0|0|4074.0|0|0.0|0|0.0|100
0|2020-04-27|0.0|0|4146.0|0|0.0|0|0.0|100
0|2020-04-28|0.0|0|4375.0|0|0.0|0|0.0|100
0|2020-04-29|0.0|0|4538.0|0|0.0|0|0.0|100
0|2020-04-30|0.0|0|4708.0|0|0.0|0|0.0|100
0|2020-05-01|0.0|0|4879.0|0|0.0|0|0.0|100
0|2020-05-02|0.0|0|4881.0|0|0.0|0|0.0|100
0|2020-05-03|0.0|0|5222.0|0|0.0|0|0.0|100
0|2020-05-04|0.0|0|5363.0|0|0.0|0|0.0|100
0|2020-05-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-05-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-05-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-05-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-05-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-05-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-05-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-05-12|0.0|0|0.0|100|0.0|0|0.0|100
