|dates|FairbanksNorthStar_Alaska_UnitedStates.AveragePrecipitationTotal.data|FairbanksNorthStar_Alaska_UnitedStates.AveragePrecipitationTotal.missing|FairbanksNorthStar_Alaska_UnitedStates.AveragePrecipitation.data|FairbanksNorthStar_Alaska_UnitedStates.AveragePrecipitation.missing|FairbanksNorthStar_Alaska_UnitedStates.AverageWindDirection.data|FairbanksNorthStar_Alaska_UnitedStates.AverageWindDirection.missing|FairbanksNorthStar_Alaska_UnitedStates.AverageWindSpeed.data|FairbanksNorthStar_Alaska_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|102.63888888888887|0|2.9777777777777774|0
0|2020-01-02|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-03|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-04|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-05|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-06|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-07|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-08|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-09|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-10|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-11|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-12|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-13|0.0|0|8.333333333333333e-05|0|0.0|0|0.0|0
0|2020-01-14|0.0001388888888888889|0|5.9523809523809524e-05|0|1.4047619047619049|0|0.04285714285714285|0
0|2020-01-15|0.0004166666666666667|0|0.0|0|26.458333333333332|0|2.9791666666666665|0
0|2020-01-16|0.0|0|0.0|0|53.75|0|7.416666666666667|0
0|2020-01-17|0.0|0|0.0|0|3.75|0|0.20833333333333334|0
0|2020-01-18|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-19|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-20|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-21|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-22|0.0|0|0.0|0|14.305555555555555|0|0.16666666666666666|0
0|2020-01-23|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-24|0.0|0|0.0|0|18.958333333333332|0|0.9861111111111112|0
0|2020-01-25|0.0|0|0.0|0|7.083333333333333|0|0.125|0
0|2020-01-26|0.0|0|0.0|0|0.4861111111111111|0|0.020833333333333332|0
0|2020-01-27|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-28|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-29|0.0|0|0.0|0|0.0|0|0.0|0
0|2020-01-30|0.0|0|0.0|0|9.166666666666666|0|0.25|0
0|2020-01-31|0.0|0|0.0|0|3.6458333333333335|0|0.15625|0
0|2020-02-01|0.0|0|0.0|0|4.583333333333333|0|0.25|0
