|dates|Johnson_Indiana_UnitedStates.JHU_ConfirmedCases.data|Johnson_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Johnson_Indiana_UnitedStates.NYT_ConfirmedCases.data|Johnson_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Johnson_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Johnson_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Johnson_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Johnson_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-12|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-13|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-14|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-15|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-16|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-17|3.0|0|3.0|0|1.0|0|0.0|100
0|2020-03-18|3.0|0|3.0|0|1.0|0|0.0|100
0|2020-03-19|3.0|0|3.0|0|1.0|0|0.0|100
0|2020-03-20|4.0|0|4.0|0|1.0|0|0.0|100
0|2020-03-21|7.0|0|7.0|0|1.0|0|0.0|100
0|2020-03-22|12.0|0|12.0|0|1.0|0|0.0|100
0|2020-03-23|12.0|0|14.0|0|1.0|0|0.0|100
0|2020-03-24|18.0|0|18.0|0|3.0|0|0.0|100
0|2020-03-25|24.0|0|24.0|0|3.0|0|0.0|100
0|2020-03-26|36.0|0|36.0|0|3.0|0|0.0|100
0|2020-03-27|42.0|0|42.0|0|3.0|0|0.0|100
0|2020-03-28|52.0|0|52.0|0|3.0|0|0.0|100
0|2020-03-29|71.0|0|71.0|0|3.0|0|0.0|100
0|2020-03-30|81.0|0|81.0|0|3.0|0|0.0|100
0|2020-03-31|101.0|0|101.0|0|3.0|0|0.0|100
0|2020-04-01|118.0|0|118.0|0|3.0|0|0.0|100
0|2020-04-02|126.0|0|126.0|0|3.0|0|0.0|100
0|2020-04-03|136.0|0|136.0|0|4.0|0|0.0|100
0|2020-04-04|153.0|0|153.0|0|6.0|0|0.0|100
0|2020-04-05|167.0|0|167.0|0|6.0|0|0.0|100
0|2020-04-06|195.0|0|195.0|0|6.0|0|0.0|100
0|2020-04-07|212.0|0|212.0|0|7.0|0|0.0|100
0|2020-04-08|230.0|0|230.0|0|8.0|0|0.0|100
0|2020-04-09|248.0|0|248.0|0|11.0|0|0.0|100
0|2020-04-10|270.0|0|271.0|0|16.0|0|0.0|100
0|2020-04-11|287.0|0|288.0|0|19.0|0|0.0|100
0|2020-04-12|317.0|0|318.0|0|20.0|0|0.0|100
0|2020-04-13|327.0|0|328.0|0|20.0|0|0.0|100
0|2020-04-14|329.0|0|331.0|0|21.0|0|0.0|100
0|2020-04-15|347.0|0|349.0|0|25.0|0|0.0|100
0|2020-04-16|358.0|0|360.0|0|30.0|0|0.0|100
0|2020-04-17|371.0|0|373.0|0|30.0|0|0.0|100
0|2020-04-18|393.0|0|397.0|0|31.0|0|0.0|100
0|2020-04-19|411.0|0|415.0|0|32.0|0|0.0|100
0|2020-04-20|426.0|0|430.0|0|33.0|0|0.0|100
0|2020-04-21|451.0|0|455.0|0|39.0|0|0.0|100
0|2020-04-22|456.0|0|460.0|0|40.0|0|0.0|100
0|2020-04-23|478.0|0|482.0|0|43.0|0|0.0|100
0|2020-04-24|511.0|0|516.0|0|48.0|0|0.0|100
0|2020-04-25|530.0|0|535.0|0|50.0|0|0.0|100
0|2020-04-26|533.0|0|538.0|0|51.0|0|0.0|100
0|2020-04-27|538.0|0|543.0|0|51.0|0|0.0|100
0|2020-04-28|548.0|0|553.0|0|58.0|0|0.0|100
0|2020-04-29|563.0|0|570.0|0|62.0|0|0.0|100
0|2020-04-30|579.0|0|588.0|0|62.0|0|0.0|100
0|2020-05-01|616.0|0|625.0|0|67.0|0|0.0|100
0|2020-05-02|668.0|0|677.0|0|69.0|0|0.0|100
0|2020-05-03|706.0|0|715.0|0|72.0|0|0.0|100
0|2020-05-04|718.0|0|727.0|0|72.0|0|0.0|100
0|2020-05-05|730.0|0|739.0|0|75.0|0|0.0|100
0|2020-05-06|746.0|0|756.0|0|77.0|0|0.0|100
0|2020-05-07|754.0|0|768.0|0|77.0|0|0.0|100
0|2020-05-08|769.0|0|783.0|0|83.0|0|0.0|100
0|2020-05-09|790.0|0|805.0|0|85.0|0|0.0|100
0|2020-05-10|807.0|0|822.0|0|85.0|0|0.0|100
0|2020-05-11|827.0|0|842.0|0|90.0|0|0.0|100
0|2020-05-12|840.0|0|856.0|0|91.0|0|0.0|100
0|2020-05-13|838.0|0|858.0|0|91.0|0|0.0|100
