|dates|Nye_Nevada_UnitedStates.AveragePrecipitationTotal.data|Nye_Nevada_UnitedStates.AveragePrecipitationTotal.missing|Nye_Nevada_UnitedStates.AveragePrecipitation.data|Nye_Nevada_UnitedStates.AveragePrecipitation.missing|Nye_Nevada_UnitedStates.AverageWindDirection.data|Nye_Nevada_UnitedStates.AverageWindDirection.missing|Nye_Nevada_UnitedStates.AverageWindSpeed.data|Nye_Nevada_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|210.0|0|10.083333333333334|0
0|2020-01-02|0.0|0|0.0|0|303.9583333333333|0|15.708333333333334|0
0|2020-01-03|0.0|0|0.0|0|151.66666666666666|0|5.25|0
0|2020-01-04|0.0|0|0.0|0|208.75|0|6.5|0
0|2020-01-05|0.0|0|0.0|0|296.25|0|11.791666666666666|0
0|2020-01-06|0.0|0|0.0|0|135.41666666666666|0|6.25|0
0|2020-01-07|0.0|0|0.0|0|83.75|0|4.208333333333333|0
0|2020-01-08|0.0|0|0.0|0|218.33333333333334|0|11.416666666666666|0
0|2020-01-09|0.0|0|0.0|0|267.9166666666667|0|11.708333333333334|0
0|2020-01-10|0.0|0|0.0|0|154.16666666666666|0|7.416666666666667|0
0|2020-01-11|0.0|0|0.0|0|197.5|0|11.541666666666666|0
0|2020-01-12|0.0|0|0.0|0|147.5|0|4.083333333333333|0
0|2020-01-13|0.0|0|0.0|0|175.41666666666666|0|6.0|0
0|2020-01-14|0.0|0|0.0|0|138.33333333333334|0|6.125|0
0|2020-01-15|0.0|0|0.0|0|131.25|0|6.5|0
0|2020-01-16|0.0|0|0.0|0|190.54166666666666|0|13.608333333333334|0
0|2020-01-17|0.0|0|0.0|0|175.0|0|8.625|0
0|2020-01-18|0.0|0|0.0|0|137.91666666666666|0|6.666666666666667|0
0|2020-01-19|0.0|0|0.0|0|133.33333333333334|0|4.208333333333333|0
0|2020-01-20|0.0|0|0.0|0|150.41666666666666|0|4.5|0
0|2020-01-21|0.0|0|0.0|0|119.58333333333333|0|4.083333333333333|0
0|2020-01-22|0.0|0|0.0|0|277.5|0|9.541666666666666|0
0|2020-01-23|0.0|0|0.0|0|151.25|0|7.083333333333333|0
0|2020-01-24|0.0|0|0.0|0|225.41666666666666|0|7.541666666666667|0
