|dates|Franklin_Washington_UnitedStates.JHU_ConfirmedCases.data|Franklin_Washington_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Washington_UnitedStates.NYT_ConfirmedCases.data|Franklin_Washington_UnitedStates.NYT_ConfirmedCases.missing|Franklin_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-18|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-19|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-20|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-21|2.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-22|3.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-23|5.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-24|5.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-25|7.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-26|7.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-27|12.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-28|12.0|0|16.0|0|0.0|0|0.0|100
0|2020-03-29|16.0|0|32.0|0|0.0|0|0.0|100
0|2020-03-30|37.0|0|32.0|0|0.0|0|0.0|100
0|2020-03-31|33.0|0|33.0|0|0.0|0|0.0|100
0|2020-04-01|33.0|0|33.0|0|0.0|0|0.0|100
0|2020-04-02|41.0|0|43.0|0|0.0|0|0.0|100
0|2020-04-03|45.0|0|45.0|0|1.0|0|0.0|100
0|2020-04-04|46.0|0|49.0|0|1.0|0|0.0|100
0|2020-04-05|56.0|0|59.0|0|1.0|0|0.0|100
0|2020-04-06|64.0|0|64.0|0|2.0|0|0.0|100
0|2020-04-07|70.0|0|75.0|0|2.0|0|0.0|100
0|2020-04-08|75.0|0|75.0|0|2.0|0|0.0|100
0|2020-04-09|86.0|0|93.0|0|2.0|0|0.0|100
0|2020-04-10|97.0|0|107.0|0|2.0|0|0.0|100
0|2020-04-11|107.0|0|112.0|0|2.0|0|0.0|100
0|2020-04-12|112.0|0|120.0|0|2.0|0|0.0|100
0|2020-04-13|122.0|0|129.0|0|2.0|0|0.0|100
0|2020-04-14|134.0|0|138.0|0|2.0|0|0.0|100
0|2020-04-15|185.0|0|142.0|0|2.0|0|0.0|100
0|2020-04-16|152.0|0|156.0|0|4.0|0|0.0|100
0|2020-04-17|162.0|0|167.0|0|4.0|0|0.0|100
0|2020-04-18|177.0|0|177.0|0|4.0|0|0.0|100
0|2020-04-19|191.0|0|187.0|0|4.0|0|0.0|100
0|2020-04-20|191.0|0|198.0|0|4.0|0|0.0|100
0|2020-04-21|266.0|0|207.0|0|4.0|0|0.0|100
0|2020-04-22|266.0|0|212.0|0|4.0|0|0.0|100
0|2020-04-23|233.0|0|233.0|0|5.0|0|0.0|100
0|2020-04-24|239.0|0|242.0|0|5.0|0|0.0|100
0|2020-04-25|250.0|0|250.0|0|5.0|0|0.0|100
0|2020-04-26|251.0|0|251.0|0|5.0|0|0.0|100
0|2020-04-27|256.0|0|259.0|0|5.0|0|0.0|100
0|2020-04-28|265.0|0|265.0|0|7.0|0|0.0|100
0|2020-04-29|276.0|0|276.0|0|8.0|0|0.0|100
0|2020-04-30|279.0|0|279.0|0|9.0|0|0.0|100
0|2020-05-01|309.0|0|309.0|0|11.0|0|0.0|100
0|2020-05-02|348.0|0|348.0|0|10.0|0|0.0|100
0|2020-05-03|363.0|0|363.0|0|11.0|0|0.0|100
0|2020-05-04|377.0|0|377.0|0|11.0|0|0.0|100
0|2020-05-05|379.0|0|379.0|0|13.0|0|0.0|100
0|2020-05-06|387.0|0|487.0|0|14.0|0|0.0|100
0|2020-05-07|401.0|0|501.0|0|14.0|0|0.0|100
0|2020-05-08|404.0|0|507.0|0|16.0|0|0.0|100
0|2020-05-09|408.0|0|513.0|0|16.0|0|0.0|100
0|2020-05-10|412.0|0|516.0|0|16.0|0|0.0|100
0|2020-05-11|420.0|0|525.0|0|16.0|0|0.0|100
0|2020-05-12|422.0|0|530.0|0|16.0|0|0.0|100
0|2020-05-13|422.0|0|531.0|0|16.0|0|0.0|100
