|dates|Charlotte_Florida_UnitedStates.AverageDailyTemperature.data|Charlotte_Florida_UnitedStates.AverageDailyTemperature.missing|Charlotte_Florida_UnitedStates.AverageDewPoint.data|Charlotte_Florida_UnitedStates.AverageDewPoint.missing|Charlotte_Florida_UnitedStates.AverageRelativeHumidity.data|Charlotte_Florida_UnitedStates.AverageRelativeHumidity.missing|Charlotte_Florida_UnitedStates.AverageSurfaceAirPressure.data|Charlotte_Florida_UnitedStates.AverageSurfaceAirPressure.missing
0|2020-01-01|61.125|0|47.208333333333336|0|64.58333333333333|0|30.05166666666666|0
0|2020-01-02|68.3125|0|60.4375|0|78.08333333333333|0|30.019375|0
0|2020-01-03|74.91527777777777|0|69.79027777777777|0|85.66666666666667|0|30.02238888888888|0
0|2020-01-04|71.95833333333333|0|68.85416666666667|0|90.35416666666667|0|30.055763888888887|0
0|2020-01-05|55.875|0|37.958333333333336|0|54.458333333333336|0|30.258333333333326|0
0|2020-01-06|54.0|0|38.916666666666664|0|63.708333333333336|0|30.20583333333332|0
0|2020-01-07|58.25|0|48.083333333333336|0|72.41666666666667|0|30.184583333333332|0
0|2020-01-08|58.47222222222223|0|47.63888888888889|0|71.04166666666667|0|30.315555555555562|0
0|2020-01-09|63.958333333333336|0|53.583333333333336|0|71.91666666666667|0|30.341666666666672|0
0|2020-01-10|70.28472222222223|0|64.25|0|81.79166666666667|0|30.267083333333332|0
0|2020-01-11|75.52430555555556|0|68.11805555555556|0|79.67708333333333|0|30.184340277777782|0
0|2020-01-12|74.6736111111111|0|68.59722222222223|0|83.35416666666667|0|30.230555555555554|0
0|2020-01-13|72.34722222222223|0|65.8888888888889|0|82.41666666666667|0|30.274270833333322|0
0|2020-01-14|71.75833333333334|0|67.21666666666667|0|87.0|0|30.22886111111112|0
0|2020-01-15|70.74166666666666|0|62.824999999999996|0|78.625|0|30.20013888888889|0
0|2020-01-16|70.25833333333334|0|62.175000000000004|0|79.25|0|30.22916666666667|0
0|2020-01-17|69.0|0|60.291666666666664|0|76.25|0|30.26666666666667|0
0|2020-01-18|67.54166666666667|0|57.541666666666664|0|73.0|0|30.24541666666668|0
0|2020-01-19|70.00694444444444|0|63.22222222222222|0|80.84722222222221|0|30.094166666666666|0
0|2020-01-20|60.0625|0|43.645833333333336|0|59.791666666666664|0|30.124791666666663|0
0|2020-01-21|48.375|0|34.5625|0|62.625|0|30.171041666666667|0
0|2020-01-22|47.854166666666664|0|33.479166666666664|0|59.520833333333336|0|30.11937500000001|0
0|2020-01-23|61.454861111111114|0|55.513888888888886|0|83.5|0|30.0276736111111|0
0|2020-01-24|65.18611111111112|0|61.24861111111111|0|88.70833333333333|0|30.01288888888889|0
0|2020-01-25|63.63125|0|51.36041666666667|0|69.97916666666667|0|30.069125|0
