|dates|TomGreen_Texas_UnitedStates.AverageDailyTemperature.data|TomGreen_Texas_UnitedStates.AverageDailyTemperature.missing|TomGreen_Texas_UnitedStates.AverageDewPoint.data|TomGreen_Texas_UnitedStates.AverageDewPoint.missing|TomGreen_Texas_UnitedStates.AverageRelativeHumidity.data|TomGreen_Texas_UnitedStates.AverageRelativeHumidity.missing|TomGreen_Texas_UnitedStates.AverageSurfaceAirPressure.data|TomGreen_Texas_UnitedStates.AverageSurfaceAirPressure.missing
0|2020-01-01|50.333333333333336|0|34.041666666666664|0|54.041666666666664|0|27.853333333333342|0
0|2020-01-02|56.104166666666664|0|36.229166666666664|0|49.666666666666664|0|27.61833333333334|0
0|2020-01-03|48.645833333333336|0|30.979166666666668|0|52.75|0|28.03583333333333|0
0|2020-01-04|48.583333333333336|0|26.541666666666668|0|50.625|0|28.267916666666668|0
0|2020-01-05|52.166666666666664|0|27.25|0|41.958333333333336|0|28.222916666666663|0
0|2020-01-06|46.791666666666664|0|27.708333333333332|0|54.291666666666664|0|28.156666666666663|0
0|2020-01-07|43.1875|0|16.979166666666668|0|45.25|0|28.324374999999993|0
0|2020-01-08|50.958333333333336|0|34.083333333333336|0|53.208333333333336|0|28.088333333333342|0
0|2020-01-09|64.08333333333333|0|49.75|0|62.541666666666664|0|27.875416666666666|0
0|2020-01-10|63.76388888888889|0|46.229166666666664|0|56.78472222222223|0|27.760763888888885|0
0|2020-01-11|45.395833333333336|0|28.479166666666668|0|53.5|0|28.073958333333326|0
0|2020-01-12|52.729166666666664|0|33.208333333333336|0|50.8125|0|28.031875000000003|0
0|2020-01-13|55.36805555555555|0|45.59722222222222|0|71.84722222222221|0|28.057083333333328|0
0|2020-01-14|58.995535714285715|0|44.61696428571429|0|65.52083333333333|0|28.0416875|0
0|2020-01-15|60.88611111111111|0|52.58611111111111|0|75.95138888888889|0|28.047847222222227|0
0|2020-01-16|44.1|0|37.458333333333336|0|79.5125|0|28.268833333333323|0
0|2020-01-17|44.06388888888889|0|41.37916666666667|0|90.37222222222222|0|28.12799999999999|0
0|2020-01-18|50.638888888888886|0|38.982638888888886|0|67.08125|0|28.261284722222218|0
0|2020-01-19|40.041666666666664|0|25.041666666666668|0|58.208333333333336|0|28.43166666666667|0
0|2020-01-20|46.916666666666664|0|26.583333333333332|0|49.041666666666664|0|28.434583333333336|0
0|2020-01-21|49.666666666666664|0|31.833333333333332|0|52.333333333333336|0|28.229583333333327|0
0|2020-01-22|56.208333333333336|0|46.291666666666664|0|70.625|0|27.913541666666664|0
0|2020-01-23|50.625|0|35.958333333333336|0|60.458333333333336|0|28.020416666666666|0
0|2020-01-24|48.583333333333336|0|33.625|0|61.166666666666664|0|28.084999999999994|0
0|2020-01-25|54.15277777777777|0|45.25|0|72.63888888888889|0|27.97708333333334|0
0|2020-01-26|54.44444444444445|0|41.46319444444445|0|67.86874999999999|0|27.99732638888889|0
0|2020-01-27|57.13194444444445|0|39.31597222222222|0|57.979166666666664|0|27.892118055555557|0
0|2020-01-28|48.9375|0|36.635416666666664|0|63.447916666666664|0|27.92416666666666|0
0|2020-01-29|42.458333333333336|0|30.208333333333332|0|64.20833333333333|0|28.05624999999999|0
0|2020-01-30|39.416666666666664|0|33.604166666666664|0|80.125|0|28.05104166666666|0
0|2020-01-31|42.30625|0|32.06388888888889|0|70.71736111111112|0|28.141638888888895|0
0|2020-02-01|49.25|0|27.0|0|51.041666666666664|0|28.20708333333333|0
