|dates|Peoria_Illinois_UnitedStates.JHU_ConfirmedCases.data|Peoria_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Peoria_Illinois_UnitedStates.NYT_ConfirmedCases.data|Peoria_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Peoria_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Peoria_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Peoria_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Peoria_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-17|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-18|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-19|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-20|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-21|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-22|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-23|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-24|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-25|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-26|4.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-27|6.0|0|6.0|0|0.0|0|0.0|100
0|2020-03-28|7.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-29|8.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-30|8.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-31|8.0|0|8.0|0|0.0|0|0.0|100
0|2020-04-01|10.0|0|10.0|0|0.0|0|0.0|100
0|2020-04-02|11.0|0|11.0|0|0.0|0|0.0|100
0|2020-04-03|11.0|0|11.0|0|0.0|0|0.0|100
0|2020-04-04|11.0|0|11.0|0|0.0|0|0.0|100
0|2020-04-05|14.0|0|14.0|0|1.0|0|0.0|100
0|2020-04-06|12.0|0|12.0|0|1.0|0|0.0|100
0|2020-04-07|12.0|0|13.0|0|1.0|0|0.0|100
0|2020-04-08|16.0|0|16.0|0|1.0|0|0.0|100
0|2020-04-09|16.0|0|16.0|0|1.0|0|0.0|100
0|2020-04-10|20.0|0|20.0|0|1.0|0|0.0|100
0|2020-04-11|23.0|0|23.0|0|1.0|0|0.0|100
0|2020-04-12|27.0|0|27.0|0|1.0|0|0.0|100
0|2020-04-13|31.0|0|30.0|0|1.0|0|0.0|100
0|2020-04-14|31.0|0|31.0|0|1.0|0|0.0|100
0|2020-04-15|33.0|0|33.0|0|1.0|0|0.0|100
0|2020-04-16|34.0|0|34.0|0|1.0|0|0.0|100
0|2020-04-17|34.0|0|34.0|0|1.0|0|0.0|100
0|2020-04-18|37.0|0|37.0|0|2.0|0|0.0|100
0|2020-04-19|39.0|0|39.0|0|2.0|0|0.0|100
0|2020-04-20|43.0|0|43.0|0|2.0|0|0.0|100
0|2020-04-21|44.0|0|44.0|0|2.0|0|0.0|100
0|2020-04-22|46.0|0|46.0|0|2.0|0|0.0|100
0|2020-04-23|54.0|0|54.0|0|2.0|0|0.0|100
0|2020-04-24|56.0|0|56.0|0|2.0|0|0.0|100
0|2020-04-25|60.0|0|60.0|0|2.0|0|0.0|100
0|2020-04-26|65.0|0|65.0|0|2.0|0|0.0|100
0|2020-04-27|68.0|0|68.0|0|2.0|0|0.0|100
0|2020-04-28|78.0|0|78.0|0|2.0|0|0.0|100
0|2020-04-29|85.0|0|85.0|0|2.0|0|0.0|100
0|2020-04-30|86.0|0|86.0|0|3.0|0|0.0|100
0|2020-05-01|93.0|0|93.0|0|3.0|0|0.0|100
0|2020-05-02|101.0|0|101.0|0|3.0|0|0.0|100
0|2020-05-03|106.0|0|106.0|0|3.0|0|0.0|100
0|2020-05-04|107.0|0|107.0|0|3.0|0|0.0|100
0|2020-05-05|113.0|0|113.0|0|3.0|0|0.0|100
0|2020-05-06|126.0|0|126.0|0|4.0|0|0.0|100
0|2020-05-07|130.0|0|130.0|0|5.0|0|0.0|100
0|2020-05-08|132.0|0|132.0|0|4.0|0|0.0|100
0|2020-05-09|136.0|0|136.0|0|4.0|0|0.0|100
0|2020-05-10|139.0|0|139.0|0|5.0|0|0.0|100
0|2020-05-11|141.0|0|142.0|0|5.0|0|0.0|100
0|2020-05-12|143.0|0|145.0|0|6.0|0|0.0|100
0|2020-05-13|148.0|0|148.0|0|6.0|0|0.0|100
