|dates|Gadsden_Florida_UnitedStates.BLS_EmployedPopulation.data|Gadsden_Florida_UnitedStates.BLS_EmployedPopulation.missing|Gadsden_Florida_UnitedStates.BLS_UnemployedPopulation.data|Gadsden_Florida_UnitedStates.BLS_UnemployedPopulation.missing|Gadsden_Florida_UnitedStates.BLS_UnemploymentRate.data|Gadsden_Florida_UnitedStates.BLS_UnemploymentRate.missing|Gadsden_Florida_UnitedStates.BLS_LaborForcePopulation.data|Gadsden_Florida_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-02|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-03|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-04|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-05|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-06|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-07|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-08|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-09|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-10|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-11|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-12|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-13|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-14|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-15|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-16|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-17|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-18|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-19|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-20|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-21|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-22|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-23|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-24|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-25|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-26|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-27|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-28|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-29|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-30|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-01-31|18049.0|0|809.5|0|4.292494100803351|0|18858.5|0
0|2020-02-01|18238.0|0|753.0|0|3.9650360697172347|0|18991.0|0
0|2020-02-02|18238.0|0|753.0|0|3.9650360697172347|0|18991.0|0
0|2020-02-03|18238.0|0|753.0|0|3.9650360697172347|0|18991.0|0
0|2020-02-04|18238.0|0|753.0|0|3.9650360697172347|0|18991.0|0
0|2020-02-05|18238.0|0|753.0|0|3.9650360697172347|0|18991.0|0
0|2020-02-06|18238.0|0|753.0|0|3.9650360697172347|0|18991.0|0
0|2020-02-07|18238.0|0|753.0|0|3.9650360697172347|0|18991.0|0
0|2020-02-08|18238.0|0|753.0|0|3.9650360697172347|0|18991.0|0
0|2020-02-09|18238.0|0|753.0|0|3.9650360697172347|0|18991.0|0
0|2020-02-10|18238.0|0|753.0|0|3.9650360697172347|0|18991.0|0
0|2020-02-11|18238.0|0|753.0|0|3.9650360697172347|0|18991.0|0
0|2020-02-12|18238.0|0|753.0|0|3.9650360697172347|0|18991.0|0
0|2020-02-13|18238.0|0|753.0|0|3.9650360697172347|0|18991.0|0
0|2020-02-14|18238.0|0|753.0|0|3.9650360697172347|0|18991.0|0
0|2020-02-15|18238.0|0|753.0|0|3.9650360697172347|0|18991.0|0
0|2020-02-16|18238.0|0|753.0|0|3.9650360697172347|0|18991.0|0
0|2020-02-17|18238.0|0|753.0|0|3.9650360697172347|0|18991.0|0
