|dates|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Anderson_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Anderson_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Anderson_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-16|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-17|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-18|2.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-19|2.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-20|6.0|0|6.0|0|0.0|0|0.0|100
0|2020-03-21|10.0|0|10.0|0|0.0|0|0.0|100
0|2020-03-22|10.0|0|10.0|0|0.0|0|0.0|100
0|2020-03-23|15.0|0|15.0|0|0.0|0|0.0|100
0|2020-03-24|16.0|0|16.0|0|0.0|0|0.0|100
0|2020-03-25|19.0|0|19.0|0|0.0|0|0.0|100
0|2020-03-26|19.0|0|21.0|0|0.0|0|0.0|100
0|2020-03-27|21.0|0|21.0|0|0.0|0|0.0|100
0|2020-03-28|24.0|0|24.0|0|0.0|0|0.0|100
0|2020-03-29|29.0|0|29.0|0|0.0|0|0.0|100
0|2020-03-30|31.0|0|31.0|0|1.0|0|0.0|100
0|2020-03-31|39.0|0|39.0|0|1.0|0|0.0|100
0|2020-04-01|47.0|0|47.0|0|2.0|0|0.0|100
0|2020-04-02|57.0|0|57.0|0|3.0|0|0.0|100
0|2020-04-03|62.0|0|62.0|0|3.0|0|0.0|100
0|2020-04-04|68.0|0|68.0|0|3.0|0|0.0|100
0|2020-04-05|69.0|0|69.0|0|3.0|0|0.0|100
0|2020-04-06|72.0|0|72.0|0|4.0|0|0.0|100
0|2020-04-07|75.0|0|75.0|0|4.0|0|0.0|100
0|2020-04-08|75.0|0|85.0|0|4.0|0|0.0|100
0|2020-04-09|96.0|0|96.0|0|5.0|0|0.0|100
0|2020-04-10|100.0|0|100.0|0|5.0|0|0.0|100
0|2020-04-11|102.0|0|102.0|0|5.0|0|0.0|100
0|2020-04-12|106.0|0|106.0|0|5.0|0|0.0|100
0|2020-04-13|109.0|0|109.0|0|5.0|0|0.0|100
0|2020-04-14|111.0|0|111.0|0|5.0|0|0.0|100
0|2020-04-15|114.0|0|114.0|0|5.0|0|0.0|100
0|2020-04-16|119.0|0|119.0|0|5.0|0|0.0|100
0|2020-04-17|127.0|0|127.0|0|5.0|0|0.0|100
0|2020-04-18|133.0|0|133.0|0|5.0|0|0.0|100
0|2020-04-19|132.0|0|132.0|0|5.0|0|0.0|100
0|2020-04-20|134.0|0|134.0|0|5.0|0|0.0|100
0|2020-04-21|134.0|0|132.0|0|5.0|0|0.0|100
0|2020-04-22|135.0|0|135.0|0|5.0|0|0.0|100
0|2020-04-23|137.0|0|137.0|0|6.0|0|0.0|100
0|2020-04-24|140.0|0|140.0|0|6.0|0|0.0|100
0|2020-04-25|138.0|0|138.0|0|6.0|0|0.0|100
0|2020-04-26|145.0|0|145.0|0|6.0|0|0.0|100
0|2020-04-27|149.0|0|149.0|0|6.0|0|0.0|100
0|2020-04-28|152.0|0|152.0|0|6.0|0|0.0|100
0|2020-04-29|157.0|0|157.0|0|6.0|0|0.0|100
0|2020-04-30|160.0|0|160.0|0|8.0|0|0.0|100
0|2020-05-01|164.0|0|164.0|0|8.0|0|0.0|100
0|2020-05-02|169.0|0|169.0|0|8.0|0|0.0|100
0|2020-05-03|171.0|0|171.0|0|8.0|0|0.0|100
0|2020-05-04|171.0|0|171.0|0|8.0|0|0.0|100
0|2020-05-05|172.0|0|172.0|0|8.0|0|0.0|100
0|2020-05-06|173.0|0|173.0|0|8.0|0|0.0|100
0|2020-05-07|182.0|0|182.0|0|8.0|0|0.0|100
0|2020-05-08|181.0|0|181.0|0|8.0|0|0.0|100
0|2020-05-09|184.0|0|184.0|0|8.0|0|0.0|100
0|2020-05-10|185.0|0|185.0|0|8.0|0|0.0|100
0|2020-05-11|186.0|0|186.0|0|8.0|0|0.0|100
0|2020-05-12|188.0|0|188.0|0|8.0|0|0.0|100
