|dates|Ravalli_Montana_UnitedStates.BLS_EmployedPopulation.data|Ravalli_Montana_UnitedStates.BLS_EmployedPopulation.missing|Ravalli_Montana_UnitedStates.BLS_UnemployedPopulation.data|Ravalli_Montana_UnitedStates.BLS_UnemployedPopulation.missing|Ravalli_Montana_UnitedStates.BLS_UnemploymentRate.data|Ravalli_Montana_UnitedStates.BLS_UnemploymentRate.missing|Ravalli_Montana_UnitedStates.BLS_LaborForcePopulation.data|Ravalli_Montana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-02|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-03|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-04|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-05|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-06|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-07|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-08|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-09|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-10|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-11|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-12|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-13|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-14|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-15|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-16|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-17|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-18|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-19|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-20|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-21|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-22|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-23|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-24|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-25|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-26|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-27|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-28|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-29|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-30|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-01-31|19317.5|0|1075.0|0|5.271545911487066|0|20392.5|0
0|2020-02-01|19459.5|0|1026.5|0|5.010739041296495|0|20486.0|0
0|2020-02-02|19459.5|0|1026.5|0|5.010739041296495|0|20486.0|0
0|2020-02-03|19459.5|0|1026.5|0|5.010739041296495|0|20486.0|0
0|2020-02-04|19459.5|0|1026.5|0|5.010739041296495|0|20486.0|0
0|2020-02-05|19459.5|0|1026.5|0|5.010739041296495|0|20486.0|0
0|2020-02-06|19459.5|0|1026.5|0|5.010739041296495|0|20486.0|0
