|dates|Boone_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Boone_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Boone_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Boone_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Boone_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Boone_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Boone_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Boone_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-24|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-25|1.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-26|1.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-27|1.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-28|5.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-29|5.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-30|5.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-31|8.0|0|5.0|0|0.0|0|0.0|100
0|2020-04-01|8.0|0|5.0|0|0.0|0|0.0|100
0|2020-04-02|8.0|0|5.0|0|0.0|0|0.0|100
0|2020-04-03|8.0|0|5.0|0|0.0|0|0.0|100
0|2020-04-04|11.0|0|6.0|0|1.0|0|0.0|100
0|2020-04-05|12.0|0|27.0|0|1.0|0|0.0|100
0|2020-04-06|12.0|0|27.0|0|1.0|0|0.0|100
0|2020-04-07|21.0|0|34.0|0|1.0|0|0.0|100
0|2020-04-08|21.0|0|34.0|0|1.0|0|0.0|100
0|2020-04-09|23.0|0|46.0|0|1.0|0|0.0|100
0|2020-04-10|23.0|0|48.0|0|1.0|0|0.0|100
0|2020-04-11|23.0|0|48.0|0|1.0|0|0.0|100
0|2020-04-12|48.0|0|54.0|0|1.0|0|0.0|100
0|2020-04-13|48.0|0|58.0|0|1.0|0|0.0|100
0|2020-04-14|58.0|0|61.0|0|2.0|0|0.0|100
0|2020-04-15|56.0|0|65.0|0|2.0|0|0.0|100
0|2020-04-16|67.0|0|67.0|0|2.0|0|0.0|100
0|2020-04-17|73.0|0|73.0|0|2.0|0|0.0|100
0|2020-04-18|74.0|0|74.0|0|2.0|0|0.0|100
0|2020-04-19|81.0|0|81.0|0|2.0|0|0.0|100
0|2020-04-20|81.0|0|81.0|0|2.0|0|0.0|100
0|2020-04-21|86.0|0|86.0|0|2.0|0|0.0|100
0|2020-04-22|93.0|0|93.0|0|2.0|0|0.0|100
0|2020-04-23|94.0|0|94.0|0|2.0|0|0.0|100
0|2020-04-24|98.0|0|98.0|0|2.0|0|0.0|100
0|2020-04-25|103.0|0|103.0|0|2.0|0|0.0|100
0|2020-04-26|113.0|0|113.0|0|2.0|0|0.0|100
0|2020-04-27|116.0|0|116.0|0|2.0|0|0.0|100
0|2020-04-28|125.0|0|125.0|0|2.0|0|0.0|100
0|2020-04-29|125.0|0|125.0|0|2.0|0|0.0|100
0|2020-04-30|138.0|0|138.0|0|2.0|0|0.0|100
0|2020-05-01|144.0|0|144.0|0|2.0|0|0.0|100
0|2020-05-02|144.0|0|144.0|0|2.0|0|0.0|100
0|2020-05-03|170.0|0|170.0|0|2.0|0|0.0|100
0|2020-05-04|171.0|0|172.0|0|2.0|0|0.0|100
0|2020-05-05|191.0|0|191.0|0|4.0|0|0.0|100
0|2020-05-06|196.0|0|196.0|0|4.0|0|0.0|100
0|2020-05-07|197.0|0|197.0|0|4.0|0|0.0|100
0|2020-05-08|203.0|0|203.0|0|4.0|0|0.0|100
0|2020-05-09|210.0|0|213.0|0|4.0|0|0.0|100
0|2020-05-10|210.0|0|218.0|0|4.0|0|0.0|100
0|2020-05-11|232.0|0|232.0|0|4.0|0|0.0|100
0|2020-05-12|238.0|0|250.0|0|5.0|0|0.0|100
0|2020-05-13|238.0|0|268.0|0|5.0|0|0.0|100
