|dates|Jackson_WestVirginia_UnitedStates.JHU_ConfirmedCases.data|Jackson_WestVirginia_UnitedStates.JHU_ConfirmedCases.missing|Jackson_WestVirginia_UnitedStates.NYT_ConfirmedCases.data|Jackson_WestVirginia_UnitedStates.NYT_ConfirmedCases.missing|Jackson_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.data|Jackson_WestVirginia_UnitedStates.JHU_ConfirmedDeaths.missing|Jackson_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.data|Jackson_WestVirginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-20|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-21|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-22|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-23|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-24|1.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-25|2.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-26|4.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-27|5.0|0|6.0|0|0.0|0|0.0|100
0|2020-03-28|6.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-29|7.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-30|8.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-31|9.0|0|9.0|0|0.0|0|0.0|100
0|2020-04-01|11.0|0|11.0|0|0.0|0|0.0|100
0|2020-04-02|11.0|0|11.0|0|0.0|0|0.0|100
0|2020-04-03|11.0|0|11.0|0|1.0|0|0.0|100
0|2020-04-04|13.0|0|13.0|0|1.0|0|0.0|100
0|2020-04-05|14.0|0|14.0|0|1.0|0|0.0|100
0|2020-04-06|16.0|0|16.0|0|1.0|0|0.0|100
0|2020-04-07|19.0|0|19.0|0|1.0|0|0.0|100
0|2020-04-08|19.0|0|19.0|0|1.0|0|0.0|100
0|2020-04-09|20.0|0|20.0|0|1.0|0|0.0|100
0|2020-04-10|23.0|0|20.0|0|1.0|0|0.0|100
0|2020-04-11|23.0|0|23.0|0|1.0|0|0.0|100
0|2020-04-12|23.0|0|27.0|0|1.0|0|0.0|100
0|2020-04-13|27.0|0|30.0|0|1.0|0|0.0|100
0|2020-04-14|30.0|0|31.0|0|1.0|0|0.0|100
0|2020-04-15|33.0|0|34.0|0|1.0|0|0.0|100
0|2020-04-16|34.0|0|37.0|0|1.0|0|0.0|100
0|2020-04-17|40.0|0|40.0|0|1.0|0|0.0|100
0|2020-04-18|43.0|0|70.0|0|1.0|0|0.0|100
0|2020-04-19|100.0|0|100.0|0|1.0|0|0.0|100
0|2020-04-20|101.0|0|101.0|0|1.0|0|0.0|100
0|2020-04-21|101.0|0|103.0|0|1.0|0|0.0|100
0|2020-04-22|103.0|0|103.0|0|1.0|0|0.0|100
0|2020-04-23|112.0|0|112.0|0|7.0|0|0.0|100
0|2020-04-24|116.0|0|116.0|0|8.0|0|0.0|100
0|2020-04-25|116.0|0|124.0|0|8.0|0|0.0|100
0|2020-04-26|127.0|0|127.0|0|9.0|0|0.0|100
0|2020-04-27|127.0|0|127.0|0|9.0|0|0.0|100
0|2020-04-28|129.0|0|129.0|0|12.0|0|0.0|100
0|2020-04-29|129.0|0|129.0|0|12.0|0|0.0|100
0|2020-04-30|130.0|0|130.0|0|13.0|0|0.0|100
0|2020-05-01|130.0|0|130.0|0|15.0|0|0.0|100
0|2020-05-02|130.0|0|130.0|0|15.0|0|0.0|100
0|2020-05-03|130.0|0|130.0|0|15.0|0|0.0|100
0|2020-05-04|135.0|0|135.0|0|15.0|0|0.0|100
0|2020-05-05|135.0|0|134.0|0|15.0|0|0.0|100
0|2020-05-06|134.0|0|136.0|0|15.0|0|0.0|100
0|2020-05-07|136.0|0|136.0|0|15.0|0|0.0|100
0|2020-05-08|136.0|0|136.0|0|15.0|0|0.0|100
0|2020-05-09|136.0|0|136.0|0|15.0|0|0.0|100
0|2020-05-10|136.0|0|136.0|0|15.0|0|0.0|100
0|2020-05-11|136.0|0|136.0|0|15.0|0|0.0|100
0|2020-05-12|136.0|0|136.0|0|16.0|0|0.0|100
0|2020-05-13|136.0|0|136.0|0|16.0|0|0.0|100
