|dates|Mitchell_Iowa_UnitedStates.AverageDailyTemperature.data|Mitchell_Iowa_UnitedStates.AverageDailyTemperature.missing|Mitchell_Iowa_UnitedStates.AverageDewPoint.data|Mitchell_Iowa_UnitedStates.AverageDewPoint.missing|Mitchell_Iowa_UnitedStates.AverageRelativeHumidity.data|Mitchell_Iowa_UnitedStates.AverageRelativeHumidity.missing|Mitchell_Iowa_UnitedStates.AverageSurfaceAirPressure.data|Mitchell_Iowa_UnitedStates.AverageSurfaceAirPressure.missing
0|2020-01-01|29.604166666666668|0|25.822916666666668|0|86.28125|0|28.124843749999986|0
0|2020-01-02|35.114583333333336|0|32.1875|0|89.375|0|28.177812500000012|0
0|2020-01-03|33.041666666666664|0|31.197916666666668|0|93.69791666666667|0|28.468177083333362|0
0|2020-01-04|26.34375|0|23.625|0|89.64583333333333|0|28.67151041666669|0
0|2020-01-05|32.583333333333336|0|26.40625|0|77.63541666666667|0|28.55510416666664|0
0|2020-01-06|30.375|0|24.822916666666668|0|81.109375|0|28.69421875000002|0
0|2020-01-07|24.380208333333332|0|19.135416666666668|0|80.69791666666667|0|28.679947916666702|0
0|2020-01-08|11.989583333333334|0|5.03125|0|74.28125|0|28.856302083333315|0
0|2020-01-09|32.6875|0|26.90625|0|79.63541666666667|0|28.42020833333333|0
0|2020-01-10|22.927083333333332|0|17.260416666666668|0|80.046875|0|28.769062499999993|0
0|2020-01-11|12.520833333333334|0|6.005208333333333|0|75.41666666666667|0|28.74104166666665|0
0|2020-01-12|19.739583333333332|0|15.619791666666666|0|84.578125|0|28.774374999999953|0
0|2020-01-13|25.802083333333332|0|24.25|0|93.58333333333333|0|28.729843749999986|0
0|2020-01-14|27.734375|0|24.46875|0|88.26041666666667|0|28.674062500000034|0
0|2020-01-15|14.65625|0|11.055555555555555|0|85.90625|0|28.817881944444448|0
0|2020-01-16|-1.4010416666666667|0|-8.510416666666666|0|71.625|0|29.30786458333333|0
0|2020-01-17|16.791666666666668|0|11.927083333333334|0|81.52083333333333|0|28.947291666666644|0
0|2020-01-18|13.510416666666666|0|10.260416666666666|0|86.34375|0|28.542343749999986|0
0|2020-01-19|3.3125|0|-1.2708333333333333|0|80.16666666666667|0|28.981927083333307|0
0|2020-01-20|6.5625|0|2.940972222222222|0|85.25520833333333|0|29.207881944444438|0
0|2020-01-21|7.96875|0|4.567708333333333|0|86.40625|0|28.950190972222217|0
