|dates|Macon_Illinois_UnitedStates.AveragePrecipitationTotal.data|Macon_Illinois_UnitedStates.AveragePrecipitationTotal.missing|Macon_Illinois_UnitedStates.AveragePrecipitation.data|Macon_Illinois_UnitedStates.AveragePrecipitation.missing|Macon_Illinois_UnitedStates.AverageWindDirection.data|Macon_Illinois_UnitedStates.AverageWindDirection.missing|Macon_Illinois_UnitedStates.AverageWindSpeed.data|Macon_Illinois_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|203.33333333333334|0|13.791666666666666|0
0|2020-01-02|0.0|0|0.0|0|190.83333333333334|0|12.395833333333334|0
0|2020-01-03|0.0|0|0.0|0|297.95138888888886|0|8.07986111111111|0
0|2020-01-04|0.0|0|0.00020833333333333335|0|281.5625|0|9.618055555555555|0
0|2020-01-05|0.0004166666666666667|0|0.0|0|235.83333333333334|0|14.0|0
0|2020-01-06|0.0|0|0.0|0|203.33333333333334|0|4.541666666666667|0
0|2020-01-07|0.0|0|0.0|0|217.08333333333334|0|7.541666666666667|0
0|2020-01-08|0.0|0|0.0|0|177.91666666666666|0|10.083333333333334|0
0|2020-01-09|0.0|0|0.014548611111111111|0|173.33333333333334|0|17.697916666666668|0
0|2020-01-10|0.014861111111111111|0|0.04378472222222223|0|181.5625|0|11.875|0
0|2020-01-11|0.08|0|0.04566666666666668|0|261.74999999999994|0|14.300694444444444|0
0|2020-01-12|0.012083333333333333|0|0.0|0|173.19444444444443|0|7.034722222222221|0
0|2020-01-13|0.0|0|0.0|0|164.6875|0|8.53125|0
0|2020-01-14|0.0|0|0.0|0|174.375|0|7.055555555555556|0
0|2020-01-15|0.0|0|0.0|0|224.18055555555557|0|10.565277777777778|0
0|2020-01-16|0.0|0|0.0|0|254.375|0|12.458333333333334|0
0|2020-01-17|0.0|0|0.0|0|105.03472222222223|0|15.767361111111112|0
0|2020-01-18|0.0|0|0.05451388888888889|0|250.0|0|19.666666666666668|0
0|2020-01-19|0.0014583333333333334|0|0.0|0|301.80555555555554|0|15.909722222222221|0
0|2020-01-20|0.0|0|0.0|0|304.5833333333333|0|7.239583333333333|0
0|2020-01-21|0.0|0|0.0|0|155.20833333333334|0|5.979166666666667|0
0|2020-01-22|0.0|0|0.0|0|173.75|0|13.791666666666666|0
0|2020-01-23|0.0|0|0.015889880952380957|0|149.11507936507937|0|10.61765873015873|0
0|2020-01-24|0.01916666666666667|0|0.0004166666666666667|0|189.6527777777778|0|5.840277777777778|0
0|2020-01-25|0.00020833333333333335|0|0.0004166666666666667|0|255.69444444444446|0|12.305555555555557|0
0|2020-01-26|0.0|0|0.0|0|251.73611111111111|0|7.097222222222222|0
0|2020-01-27|0.0|0|0.0|0|291.0416666666667|0|7.163194444444444|0
0|2020-01-28|0.0|0|0.0|0|238.125|0|4.520833333333333|0
0|2020-01-29|0.0|0|0.0|0|54.65277777777777|0|4.833333333333333|0
0|2020-01-30|0.0|0|0.0|0|92.08333333333333|0|2.7777777777777772|0
0|2020-01-31|0.0|0|0.0004166666666666667|0|99.09722222222223|0|4.166666666666667|0
0|2020-02-01|0.0002777777777777778|0|0.0004166666666666667|0|210.69444444444443|0|9.0|0
0|2020-02-02|0.0|0|0.0|0|203.75|0|11.125|0
0|2020-02-03|0.0|0|0.0|0|156.25|0|11.0|0
0|2020-02-04|0.0|0|0.0004166666666666667|0|60.833333333333336|0|18.71875|0
0|2020-02-05|0.0004166666666666667|0|0.0|0|35.916666666666664|0|16.790277777777778|0
0|2020-02-06|0.0|0|0.0|0|246.88888888888889|0|11.485416666666667|0
0|2020-02-07|0.0|0|0.0|0|256.59722222222223|0|8.320833333333333|0
0|2020-02-08|0.0|0|0.0008333333333333334|0|237.01388888888889|0|9.10763888888889|0
0|2020-02-09|0.00125|0|0.019305555555555562|0|180.41666666666666|0|12.024305555555557|0
0|2020-02-10|0.013125|0|0.0|0|184.16666666666666|0|7.895833333333333|0
0|2020-02-11|0.0|0|0.0|0|232.91666666666666|0|5.479166666666667|0
0|2020-02-12|0.0|0|0.00125|0|84.34027777777777|0|6.4131944444444455|0
0|2020-02-13|0.0008333333333333334|0|0.0|0|294.76388888888886|0|14.092361111111112|0
