|dates|Blaine_Oklahoma_UnitedStates.AveragePrecipitationTotal.data|Blaine_Oklahoma_UnitedStates.AveragePrecipitationTotal.missing|Blaine_Oklahoma_UnitedStates.AveragePrecipitation.data|Blaine_Oklahoma_UnitedStates.AveragePrecipitation.missing|Blaine_Oklahoma_UnitedStates.AverageWindDirection.data|Blaine_Oklahoma_UnitedStates.AverageWindDirection.missing|Blaine_Oklahoma_UnitedStates.AverageWindSpeed.data|Blaine_Oklahoma_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|185.72916666666666|0|15.239583333333334|0
0|2020-01-02|0.0|0|0.0|0|190.36458333333334|0|8.3125|0
0|2020-01-03|0.0|0|0.0|0|309.1666666666667|0|11.71875|0
0|2020-01-04|0.0|0|0.0|0|148.02083333333334|0|7.354166666666667|0
0|2020-01-05|0.0|0|0.0|0|153.125|0|12.5|0
0|2020-01-06|0.0|0|0.0|0|242.70833333333334|0|6.020833333333333|0
0|2020-01-07|0.0|0|0.0|0|193.85416666666666|0|7.65625|0
0|2020-01-08|0.0|0|0.0|0|182.8125|0|16.552083333333332|0
0|2020-01-09|0.0|0|0.0|0|158.85416666666666|0|13.489583333333334|0
0|2020-01-10|0.0|0|0.00375|0|251.5625|0|15.645833333333334|0
0|2020-01-11|0.0025|0|0.0|0|252.70833333333334|0|12.489583333333334|0
0|2020-01-12|0.0|0|0.0|0|158.02083333333334|0|11.453125|0
0|2020-01-13|0.0|0|0.0|0|157.8125|0|11.895833333333334|0
0|2020-01-14|0.0|0|0.0|0|148.33333333333334|0|7.760416666666667|0
0|2020-01-15|0.0|0|0.0|0|178.22916666666666|0|15.229166666666666|0
0|2020-01-16|0.0|0|0.0005208333333333333|0|37.291666666666664|0|16.895833333333332|0
0|2020-01-17|0.0020833333333333333|0|0.003750000000000001|0|156.14583333333334|0|12.40625|0
0|2020-01-18|0.00125|0|0.0|0|241.25|0|16.020833333333332|0
0|2020-01-19|0.0|0|0.0|0|158.28125|0|6.421875|0
0|2020-01-20|0.0|0|0.0|0|98.125|0|6.125|0
0|2020-01-21|0.0|0|0.0013541666666666667|0|119.89583333333333|0|10.166666666666666|0
0|2020-01-22|0.0016666666666666668|0|0.0011458333333333336|0|169.375|0|13.552083333333334|0
0|2020-01-23|0.0|0|0.0|0|296.875|0|12.802083333333334|0
0|2020-01-24|0.0|0|0.0|0|242.1875|0|9.177083333333334|0
0|2020-01-25|0.0|0|0.0|0|121.97916666666667|0|6.96875|0
0|2020-01-26|0.0|0|0.0|0|199.27083333333334|0|4.65625|0
0|2020-01-27|0.0|0|0.0|0|70.9375|0|6.479166666666667|0
0|2020-01-28|0.005625000000000001|0|0.016562500000000008|0|200.3125|0|18.125|0
0|2020-01-29|0.006666666666666667|0|0.0|0|228.02083333333334|0|10.34375|0
0|2020-01-30|0.0|0|0.0|0|179.0625|0|4.645833333333333|0
0|2020-01-31|0.0|0|0.0|0|252.5|0|8.520833333333334|0
0|2020-02-01|0.0|0|0.0|0|245.10416666666666|0|7.552083333333333|0
0|2020-02-02|0.0|0|0.0|0|206.97916666666666|0|8.875|0
0|2020-02-03|0.0|0|0.0|0|263.9583333333333|0|16.958333333333332|0
0|2020-02-04|0.0|0|0.0|0|322.7083333333333|0|16.885416666666668|0
0|2020-02-05|0.0|0|0.0|0|292.8125|0|12.114583333333334|0
0|2020-02-06|0.0|0|0.0|0|216.97916666666666|0|5.958333333333333|0
0|2020-02-07|0.0|0|0.0|0|297.0833333333333|0|9.447916666666666|0
