|dates|Creek_Oklahoma_UnitedStates.AverageDailyTemperature.data|Creek_Oklahoma_UnitedStates.AverageDailyTemperature.missing|Creek_Oklahoma_UnitedStates.AverageDewPoint.data|Creek_Oklahoma_UnitedStates.AverageDewPoint.missing|Creek_Oklahoma_UnitedStates.AverageRelativeHumidity.data|Creek_Oklahoma_UnitedStates.AverageRelativeHumidity.missing|Creek_Oklahoma_UnitedStates.AverageSurfaceAirPressure.data|Creek_Oklahoma_UnitedStates.AverageSurfaceAirPressure.missing
0|2020-01-01|44.395833333333336|0|30.770833333333332|0|59.75|0|28.77614583333333|0
0|2020-01-02|49.359375|0|42.244791666666664|0|77.625|0|28.611614583333303|0
0|2020-01-03|42.802083333333336|0|35.270833333333336|0|75.85416666666667|0|28.98979166666666|0
0|2020-01-04|38.302083333333336|0|24.875|0|62.677083333333336|0|29.2728125|0
0|2020-01-05|45.385416666666664|0|27.21875|0|52.291666666666664|0|29.21624999999997|0
0|2020-01-06|39.979166666666664|0|25.947916666666668|0|59.854166666666664|0|29.192499999999992|0
0|2020-01-07|41.916666666666664|0|22.5|0|51.0|0|29.293958333333364|0
0|2020-01-08|48.010416666666664|0|23.3125|0|41.645833333333336|0|29.107916666666654|0
0|2020-01-09|59.03125|0|51.822916666666664|0|78.07291666666667|0|28.89187499999998|0
0|2020-01-10|53.229166666666664|0|51.416666666666664|0|93.86458333333333|0|28.85156249999997|0
0|2020-01-11|26.25|0|22.885416666666668|0|87.76041666666667|0|29.101250000000018|0
0|2020-01-12|36.552083333333336|0|31.614583333333332|0|83.921875|0|29.10249999999998|0
0|2020-01-13|42.614583333333336|0|41.583333333333336|0|96.47916666666667|0|29.098229166666698|0
0|2020-01-14|54.322916666666664|0|50.385416666666664|0|87.1875|0|29.037708333333317|0
0|2020-01-15|51.791666666666664|0|47.125|0|84.5|0|29.118958333333325|0
0|2020-01-16|32.25|0|24.71875|0|74.73958333333333|0|29.523854166666652|0
0|2020-01-17|40.0625|0|39.364583333333336|0|97.38541666666667|0|29.153124999999978|0
0|2020-01-18|41.364583333333336|0|28.854166666666668|0|64.03125|0|29.305937500000017|0
0|2020-01-19|35.25|0|23.4375|0|64.0|0|29.528958333333332|0
0|2020-01-20|31.291666666666668|0|19.645833333333332|0|64.375|0|29.553541666666664|0
0|2020-01-21|32.354166666666664|0|23.34375|0|70.92708333333333|0|29.4141666666667|0
0|2020-01-22|34.90625|0|34.020833333333336|0|97.04166666666667|0|29.02489583333329|0
0|2020-01-23|41.791666666666664|0|36.1875|0|83.14583333333333|0|28.985208333333347|0
0|2020-01-24|36.21875|0|29.71875|0|78.30208333333333|0|29.107500000000016|0
0|2020-01-25|40.854166666666664|0|33.53125|0|77.78125|0|29.060520833333303|0
