|dates|Walworth_Wisconsin_UnitedStates.AverageDailyTemperature.data|Walworth_Wisconsin_UnitedStates.AverageDailyTemperature.missing|Walworth_Wisconsin_UnitedStates.AverageDewPoint.data|Walworth_Wisconsin_UnitedStates.AverageDewPoint.missing|Walworth_Wisconsin_UnitedStates.AverageRelativeHumidity.data|Walworth_Wisconsin_UnitedStates.AverageRelativeHumidity.missing|Walworth_Wisconsin_UnitedStates.AverageSurfaceAirPressure.data|Walworth_Wisconsin_UnitedStates.AverageSurfaceAirPressure.missing
0|2020-01-01|27.510416666666668|0|21.520833333333332|0|79.3125|0|28.82197916666664|0
0|2020-01-02|38.234375|0|31.989583333333332|0|78.58854166666667|0|28.722135416666685|0
0|2020-01-03|33.036458333333336|0|27.713541666666668|0|81.02083333333333|0|28.979270833333377|0
0|2020-01-04|29.322916666666668|0|23.375|0|78.70833333333333|0|29.16250000000004|0
0|2020-01-05|30.916666666666668|0|25.890625|0|82.19270833333333|0|29.091614583333357|0
0|2020-01-06|32.416666666666664|0|23.041666666666668|0|68.94791666666667|0|29.228749999999987|0
0|2020-01-07|31.739583333333332|0|22.78125|0|69.96875|0|29.131249999999994|0
0|2020-01-08|17.177083333333332|0|4.614583333333333|0|58.697916666666664|0|29.479999999999986|0
0|2020-01-09|38.09375|0|31.3125|0|76.69791666666667|0|29.14593750000002|0
0|2020-01-10|37.3125|0|33.1875|0|85.63541666666667|0|29.202187499999994|0
0|2020-01-11|27.208333333333332|0|24.875|0|91.07291666666667|0|29.10260416666664|0
0|2020-01-12|24.052083333333332|0|20.958333333333332|0|87.91666666666667|0|29.383333333333358|0
0|2020-01-13|29.770833333333332|0|26.385416666666668|0|87.13541666666667|0|29.393437500000015|0
0|2020-01-14|32.348958333333336|0|29.817708333333332|0|90.54166666666667|0|29.243645833333357|0
0|2020-01-15|29.083333333333332|0|27.567708333333332|0|93.84895833333333|0|29.272395833333352|0
0|2020-01-16|15.5|0|6.270833333333333|0|67.375|0|29.758645833333308|0
