|dates|Randolph_WestVirginia_UnitedStates.BLS_EmployedPopulation.data|Randolph_WestVirginia_UnitedStates.BLS_EmployedPopulation.missing|Randolph_WestVirginia_UnitedStates.BLS_UnemployedPopulation.data|Randolph_WestVirginia_UnitedStates.BLS_UnemployedPopulation.missing|Randolph_WestVirginia_UnitedStates.BLS_UnemploymentRate.data|Randolph_WestVirginia_UnitedStates.BLS_UnemploymentRate.missing|Randolph_WestVirginia_UnitedStates.BLS_LaborForcePopulation.data|Randolph_WestVirginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-02|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-03|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-04|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-05|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-06|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-07|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-08|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-09|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-10|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-11|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-12|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-13|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-14|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-15|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-16|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-17|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-18|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-19|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-20|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-21|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-22|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-23|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-24|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-25|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-26|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-27|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-28|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
0|2020-01-29|11517.0|0|868.5|0|7.01223204553712|0|12385.5|0
