|dates|Beaufort_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Beaufort_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Beaufort_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Beaufort_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Beaufort_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Beaufort_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Beaufort_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Beaufort_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-15|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-16|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-17|4.0|0|4.0|0|0.0|0|0.0|100
0|2020-03-18|6.0|0|6.0|0|0.0|0|0.0|100
0|2020-03-19|7.0|0|7.0|0|0.0|0|0.0|100
0|2020-03-20|8.0|0|8.0|0|0.0|0|0.0|100
0|2020-03-21|13.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-22|14.0|0|14.0|0|0.0|0|0.0|100
0|2020-03-23|21.0|0|21.0|0|0.0|0|0.0|100
0|2020-03-24|22.0|0|22.0|0|0.0|0|0.0|100
0|2020-03-25|26.0|0|26.0|0|0.0|0|0.0|100
0|2020-03-26|26.0|0|29.0|0|0.0|0|0.0|100
0|2020-03-27|35.0|0|35.0|0|0.0|0|0.0|100
0|2020-03-28|39.0|0|39.0|0|0.0|0|0.0|100
0|2020-03-29|50.0|0|50.0|0|0.0|0|0.0|100
0|2020-03-30|74.0|0|74.0|0|1.0|0|0.0|100
0|2020-03-31|91.0|0|91.0|0|1.0|0|0.0|100
0|2020-04-01|101.0|0|101.0|0|2.0|0|0.0|100
0|2020-04-02|130.0|0|130.0|0|2.0|0|0.0|100
0|2020-04-03|131.0|0|131.0|0|2.0|0|0.0|100
0|2020-04-04|148.0|0|148.0|0|3.0|0|0.0|100
0|2020-04-05|156.0|0|156.0|0|4.0|0|0.0|100
0|2020-04-06|163.0|0|163.0|0|4.0|0|0.0|100
0|2020-04-07|169.0|0|169.0|0|4.0|0|0.0|100
0|2020-04-08|169.0|0|174.0|0|4.0|0|0.0|100
0|2020-04-09|184.0|0|184.0|0|5.0|0|0.0|100
0|2020-04-10|186.0|0|186.0|0|5.0|0|0.0|100
0|2020-04-11|191.0|0|191.0|0|6.0|0|0.0|100
0|2020-04-12|194.0|0|194.0|0|6.0|0|0.0|100
0|2020-04-13|194.0|0|194.0|0|6.0|0|0.0|100
0|2020-04-14|198.0|0|198.0|0|7.0|0|0.0|100
0|2020-04-15|205.0|0|205.0|0|7.0|0|0.0|100
0|2020-04-16|206.0|0|206.0|0|7.0|0|0.0|100
0|2020-04-17|214.0|0|214.0|0|6.0|0|0.0|100
0|2020-04-18|220.0|0|220.0|0|6.0|0|0.0|100
0|2020-04-19|225.0|0|225.0|0|6.0|0|0.0|100
0|2020-04-20|225.0|0|225.0|0|6.0|0|0.0|100
0|2020-04-21|225.0|0|233.0|0|6.0|0|0.0|100
0|2020-04-22|236.0|0|236.0|0|9.0|0|0.0|100
0|2020-04-23|241.0|0|241.0|0|9.0|0|0.0|100
0|2020-04-24|244.0|0|244.0|0|10.0|0|0.0|100
0|2020-04-25|253.0|0|253.0|0|10.0|0|0.0|100
0|2020-04-26|255.0|0|255.0|0|10.0|0|0.0|100
0|2020-04-27|254.0|0|254.0|0|10.0|0|0.0|100
0|2020-04-28|259.0|0|259.0|0|10.0|0|0.0|100
0|2020-04-29|262.0|0|262.0|0|11.0|0|0.0|100
0|2020-04-30|263.0|0|263.0|0|11.0|0|0.0|100
0|2020-05-01|269.0|0|269.0|0|11.0|0|0.0|100
0|2020-05-02|269.0|0|269.0|0|11.0|0|0.0|100
0|2020-05-03|270.0|0|270.0|0|11.0|0|0.0|100
0|2020-05-04|269.0|0|269.0|0|11.0|0|0.0|100
0|2020-05-05|270.0|0|270.0|0|12.0|0|0.0|100
0|2020-05-06|269.0|0|269.0|0|12.0|0|0.0|100
0|2020-05-07|269.0|0|269.0|0|12.0|0|0.0|100
0|2020-05-08|273.0|0|273.0|0|12.0|0|0.0|100
0|2020-05-09|273.0|0|273.0|0|12.0|0|0.0|100
0|2020-05-10|279.0|0|279.0|0|12.0|0|0.0|100
0|2020-05-11|280.0|0|280.0|0|12.0|0|0.0|100
0|2020-05-12|282.0|0|282.0|0|12.0|0|0.0|100
