|dates|Bexar_Texas_UnitedStates.JHU_ConfirmedCases.data|Bexar_Texas_UnitedStates.JHU_ConfirmedCases.missing|Bexar_Texas_UnitedStates.NYT_ConfirmedCases.data|Bexar_Texas_UnitedStates.NYT_ConfirmedCases.missing|Bexar_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Bexar_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Bexar_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Bexar_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-13|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-14|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-15|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-16|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-17|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-18|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-19|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-20|0.0|0|2.0|0|0.0|0|0.0|100
0|2020-02-21|0.0|0|4.0|0|0.0|0|0.0|100
0|2020-02-22|0.0|0|4.0|0|0.0|0|0.0|100
0|2020-02-23|0.0|0|4.0|0|0.0|0|0.0|100
0|2020-02-24|0.0|0|10.0|0|0.0|0|0.0|100
0|2020-02-25|0.0|0|10.0|0|0.0|0|0.0|100
0|2020-02-26|0.0|0|10.0|0|0.0|0|0.0|100
0|2020-02-27|0.0|0|10.0|0|0.0|0|0.0|100
0|2020-02-28|0.0|0|11.0|0|0.0|0|0.0|100
0|2020-02-29|0.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-01|0.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-02|0.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-03|0.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-04|0.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-05|0.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-06|0.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-07|0.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-08|0.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-09|0.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-10|0.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-11|0.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-12|0.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-13|1.0|0|11.0|0|0.0|0|0.0|100
0|2020-03-14|2.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-15|2.0|0|12.0|0|0.0|0|0.0|100
0|2020-03-16|3.0|0|13.0|0|0.0|0|0.0|100
0|2020-03-17|4.0|0|13.0|0|0.0|0|0.0|100
0|2020-03-18|11.0|0|13.0|0|0.0|0|0.0|100
0|2020-03-19|29.0|0|17.0|0|0.0|0|0.0|100
0|2020-03-20|29.0|0|40.0|0|0.0|0|0.0|100
0|2020-03-21|39.0|0|50.0|0|0.0|0|0.0|100
0|2020-03-22|46.0|0|50.0|0|1.0|0|0.0|100
0|2020-03-23|57.0|0|50.0|0|1.0|0|0.0|100
0|2020-03-24|69.0|0|68.0|0|1.0|0|0.0|100
0|2020-03-25|69.0|0|69.0|0|2.0|0|0.0|100
0|2020-03-26|84.0|0|84.0|0|3.0|0|0.0|100
0|2020-03-27|113.0|0|113.0|0|5.0|0|0.0|100
0|2020-03-28|125.0|0|125.0|0|5.0|0|0.0|100
0|2020-03-29|140.0|0|140.0|0|5.0|0|0.0|100
0|2020-03-30|157.0|0|157.0|0|6.0|0|0.0|100
0|2020-03-31|168.0|0|207.0|0|6.0|0|0.0|100
0|2020-04-01|207.0|0|229.0|0|9.0|0|0.0|100
0|2020-04-02|229.0|0|254.0|0|9.0|0|0.0|100
0|2020-04-03|254.0|0|342.0|0|9.0|0|0.0|100
0|2020-04-04|342.0|0|395.0|0|9.0|0|0.0|100
0|2020-04-05|384.0|0|421.0|0|11.0|0|0.0|100
0|2020-04-06|410.0|0|467.0|0|12.0|0|0.0|100
0|2020-04-07|456.0|0|514.0|0|12.0|0|0.0|100
0|2020-04-08|503.0|0|514.0|0|18.0|0|0.0|100
0|2020-04-09|554.0|0|626.0|0|20.0|0|0.0|100
0|2020-04-10|615.0|0|676.0|0|22.0|0|0.0|100
0|2020-04-11|665.0|0|723.0|0|24.0|0|0.0|100
0|2020-04-12|723.0|0|734.0|0|27.0|0|0.0|100
0|2020-04-13|772.0|0|783.0|0|30.0|0|0.0|100
0|2020-04-14|794.0|0|805.0|0|33.0|0|0.0|100
0|2020-04-15|815.0|0|901.0|0|33.0|0|0.0|100
0|2020-04-16|890.0|0|901.0|0|37.0|0|0.0|100
0|2020-04-17|918.0|0|970.0|0|37.0|0|0.0|100
0|2020-04-18|959.0|0|1003.0|0|37.0|0|0.0|100
0|2020-04-19|992.0|0|1015.0|0|38.0|0|0.0|100
0|2020-04-20|1015.0|0|1040.0|0|39.0|0|0.0|100
0|2020-04-21|1029.0|0|1080.0|0|39.0|0|0.0|100
0|2020-04-22|1080.0|0|1126.0|0|39.0|0|0.0|100
0|2020-04-23|1167.0|0|1178.0|0|43.0|0|0.0|100
0|2020-04-24|1334.0|0|1206.0|0|43.0|0|0.0|100
0|2020-04-25|1334.0|0|1243.0|0|43.0|0|0.0|100
0|2020-04-26|1334.0|0|1254.0|0|43.0|0|0.0|100
0|2020-04-27|1334.0|0|1287.0|0|43.0|0|0.0|100
0|2020-04-28|1275.0|0|1307.0|0|44.0|0|0.0|100
0|2020-04-29|1307.0|0|1326.0|0|44.0|0|0.0|100
0|2020-04-30|1374.0|0|1374.0|0|48.0|0|0.0|100
0|2020-05-01|1374.0|0|1489.0|0|48.0|0|0.0|100
0|2020-05-02|1477.0|0|1585.0|0|48.0|0|0.0|100
0|2020-05-03|1585.0|0|1625.0|0|48.0|0|0.0|100
0|2020-05-04|1585.0|0|1664.0|0|48.0|0|0.0|100
0|2020-05-05|1652.0|0|1689.0|0|48.0|0|0.0|100
0|2020-05-06|1677.0|0|1761.0|0|48.0|0|0.0|100
0|2020-05-07|1761.0|0|1805.0|0|53.0|0|0.0|100
0|2020-05-08|1805.0|0|1835.0|0|54.0|0|0.0|100
0|2020-05-09|1805.0|0|1887.0|0|54.0|0|0.0|100
0|2020-05-10|1835.0|0|1901.0|0|56.0|0|0.0|100
0|2020-05-11|1901.0|0|1920.0|0|56.0|0|0.0|100
0|2020-05-12|1901.0|0|1942.0|0|56.0|0|0.0|100
