|dates|Suwannee_Florida_UnitedStates.JHU_ConfirmedCases.data|Suwannee_Florida_UnitedStates.JHU_ConfirmedCases.missing|Suwannee_Florida_UnitedStates.NYT_ConfirmedCases.data|Suwannee_Florida_UnitedStates.NYT_ConfirmedCases.missing|Suwannee_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Suwannee_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Suwannee_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Suwannee_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-30|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-31|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-27|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-28|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-02-29|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-25|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-26|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-03-27|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-28|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-29|1.0|0|2.0|0|0.0|0|0.0|100
0|2020-03-30|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-31|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-04-01|4.0|0|6.0|0|0.0|0|0.0|100
0|2020-04-02|7.0|0|7.0|0|0.0|0|0.0|100
0|2020-04-03|11.0|0|11.0|0|0.0|0|0.0|100
0|2020-04-04|17.0|0|17.0|0|0.0|0|0.0|100
0|2020-04-05|18.0|0|18.0|0|0.0|0|0.0|100
0|2020-04-06|32.0|0|31.0|0|0.0|0|0.0|100
0|2020-04-07|32.0|0|33.0|0|0.0|0|0.0|100
0|2020-04-08|46.0|0|47.0|0|0.0|0|0.0|100
0|2020-04-09|54.0|0|54.0|0|0.0|0|0.0|100
0|2020-04-10|58.0|0|59.0|0|0.0|0|0.0|100
0|2020-04-11|66.0|0|67.0|0|0.0|0|0.0|100
0|2020-04-12|67.0|0|67.0|0|0.0|0|0.0|100
0|2020-04-13|68.0|0|68.0|0|1.0|0|0.0|100
0|2020-04-14|75.0|0|75.0|0|3.0|0|0.0|100
0|2020-04-15|80.0|0|81.0|0|3.0|0|0.0|100
0|2020-04-16|83.0|0|83.0|0|5.0|0|0.0|100
0|2020-04-17|87.0|0|87.0|0|5.0|0|0.0|100
0|2020-04-18|90.0|0|90.0|0|6.0|0|0.0|100
0|2020-04-19|98.0|0|98.0|0|6.0|0|0.0|100
0|2020-04-20|98.0|0|98.0|0|8.0|0|0.0|100
0|2020-04-21|102.0|0|102.0|0|9.0|0|0.0|100
0|2020-04-22|104.0|0|104.0|0|9.0|0|0.0|100
0|2020-04-23|106.0|0|106.0|0|9.0|0|0.0|100
0|2020-04-24|107.0|0|107.0|0|10.0|0|0.0|100
0|2020-04-25|109.0|0|109.0|0|11.0|0|0.0|100
0|2020-04-26|116.0|0|116.0|0|11.0|0|0.0|100
0|2020-04-27|118.0|0|118.0|0|11.0|0|0.0|100
0|2020-04-28|128.0|0|128.0|0|14.0|0|0.0|100
0|2020-04-29|129.0|0|129.0|0|14.0|0|0.0|100
0|2020-04-30|130.0|0|130.0|0|14.0|0|0.0|100
0|2020-05-01|139.0|0|139.0|0|14.0|0|0.0|100
0|2020-05-02|141.0|0|141.0|0|16.0|0|0.0|100
0|2020-05-03|141.0|0|141.0|0|16.0|0|0.0|100
0|2020-05-04|141.0|0|141.0|0|16.0|0|0.0|100
0|2020-05-05|142.0|0|142.0|0|17.0|0|0.0|100
0|2020-05-06|143.0|0|143.0|0|17.0|0|0.0|100
0|2020-05-07|144.0|0|144.0|0|17.0|0|0.0|100
0|2020-05-08|145.0|0|145.0|0|18.0|0|0.0|100
0|2020-05-09|145.0|0|145.0|0|18.0|0|0.0|100
0|2020-05-10|146.0|0|146.0|0|18.0|0|0.0|100
0|2020-05-11|146.0|0|146.0|0|18.0|0|0.0|100
0|2020-05-12|148.0|0|148.0|0|18.0|0|0.0|100
0|2020-05-13|149.0|0|149.0|0|18.0|0|0.0|100
