|dates|Sumter_SouthCarolina_UnitedStates.AverageDailyTemperature.data|Sumter_SouthCarolina_UnitedStates.AverageDailyTemperature.missing|Sumter_SouthCarolina_UnitedStates.AverageDewPoint.data|Sumter_SouthCarolina_UnitedStates.AverageDewPoint.missing|Sumter_SouthCarolina_UnitedStates.AverageRelativeHumidity.data|Sumter_SouthCarolina_UnitedStates.AverageRelativeHumidity.missing|Sumter_SouthCarolina_UnitedStates.AverageSurfaceAirPressure.data|Sumter_SouthCarolina_UnitedStates.AverageSurfaceAirPressure.missing
0|2020-01-01|45.96875|0|32.479166666666664|0|63.072916666666664|0|29.796979166666656|0
0|2020-01-02|48.5625|0|40.276041666666664|0|75.38020833333333|0|29.85968750000002|0
0|2020-01-03|67.61458333333333|0|62.927083333333336|0|85.22916666666667|0|29.71276041666668|0
0|2020-01-04|61.354166666666664|0|52.8125|0|76.48958333333333|0|29.661979166666658|0
0|2020-01-05|44.8125|0|31.375|0|62.260416666666664|0|29.999583333333316|0
0|2020-01-06|46.895833333333336|0|34.927083333333336|0|67.30208333333333|0|29.94182291666667|0
0|2020-01-07|47.833333333333336|0|42.1875|0|83.21875|0|29.87072916666665|0
0|2020-01-08|44.53125|0|30.4375|0|67.22916666666667|0|30.14822916666668|0
0|2020-01-09|46.864583333333336|0|31.541666666666668|0|62.197916666666664|0|30.381250000000033|0
0|2020-01-10|54.802083333333336|0|49.40625|0|81.95833333333333|0|30.2964583333333|0
0|2020-01-11|67.13541666666667|0|64.10416666666667|0|90.61458333333333|0|30.04312499999998|0
0|2020-01-12|65.83333333333333|0|64.89583333333333|0|97.1875|0|30.062916666666634|0
0|2020-01-13|66.55208333333333|0|66.3125|0|99.1875|0|30.15000000000001|0
0|2020-01-14|67.0625|0|64.39583333333333|0|91.65625|0|30.038072916666625|0
0|2020-01-15|66.32291666666667|0|62.197916666666664|0|86.97916666666667|0|29.984947916666652|0
0|2020-01-16|64.97916666666667|0|49.708333333333336|0|63.583333333333336|0|30.026875000000004|0
0|2020-01-17|46.760416666666664|0|21.84375|0|38.125|0|30.38874999999999|0
0|2020-01-18|49.8125|0|39.229166666666664|0|67.0|0|30.172187499999993|0
0|2020-01-19|54.75|0|45.1875|0|72.5|0|29.804895833333333|0
0|2020-01-20|35.5625|0|19.34375|0|52.979166666666664|0|30.109895833333322|0
0|2020-01-21|32.572916666666664|0|14.479166666666666|0|51.21875|0|30.19166666666666|0
0|2020-01-22|37.583333333333336|0|18.729166666666668|0|47.53125|0|30.15859374999999|0
0|2020-01-23|41.697916666666664|0|32.020833333333336|0|69.23958333333333|0|30.07947916666669|0
0|2020-01-24|55.135416666666664|0|51.96875|0|89.85416666666667|0|29.845833333333317|0
0|2020-01-25|50.177083333333336|0|43.78125|0|80.0625|0|29.78677083333334|0
0|2020-01-26|45.65625|0|35.71875|0|70.92708333333333|0|29.82281250000003|0
0|2020-01-27|50.875|0|42.708333333333336|0|74.27604166666667|0|29.71151041666666|0
0|2020-01-28|44.677083333333336|0|38.447916666666664|0|82.44791666666667|0|29.78979166666667|0
0|2020-01-29|44.114583333333336|0|38.583333333333336|0|82.66666666666667|0|29.856666666666666|0
0|2020-01-30|46.104166666666664|0|37.916666666666664|0|75.20833333333333|0|29.951250000000012|0
0|2020-01-31|39.46875|0|37.072916666666664|0|91.32291666666667|0|29.982083333333332|0
0|2020-02-01|44.114583333333336|0|43.1875|0|96.34375|0|29.76624999999997|0
0|2020-02-02|50.90625|0|36.78125|0|63.666666666666664|0|29.73218749999998|0
0|2020-02-03|59.114583333333336|0|40.135416666666664|0|53.447916666666664|0|29.839479166666667|0
